latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-28.9251,-63.23906,344.93,0.46,0.47,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.5,6.23,D,344.93,0
-28.88161,-57.95675,340.79,0.46,0.64,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.31,5.13,D,340.79,3
-28.87594,-62.68826,353.32,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.74,18.69,D,353.32,0
-28.8759,-57.60729,326.58,0.48,0.65,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.34,4.7,D,326.58,0
-28.87256,-62.69455,341.53,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,304.35,12.26,D,341.53,0
-28.87146,-62.68947,348.44,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,305.95,12.26,D,348.44,0
-28.83681,-62.66107,340.78,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,297.04,8.46,D,340.78,0
-28.83604,-62.65894,340.21,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.33,5.88,D,340.21,0
-28.83465,-62.83094,335.72,0.49,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.17,3.46,D,335.72,0
-28.83362,-61.45909,345.23,0.58,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.24,8.42,D,345.23,3
-28.83232,-62.66228,339.96,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.91,8.46,D,339.96,0
-28.83156,-62.66016,342.83,0.5,0.49,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.85,6.52,D,342.83,0
-28.80797,-60.70517,326.37,0.32,0.55,2025-09-06,1828,N,VIIRS,60,2.0NRT,292.46,3.03,D,326.37,0
-28.77222,-60.86366,335.86,0.64,0.54,2025-09-06,1828,N,VIIRS,60,2.0NRT,295.42,6.04,D,335.86,0
-28.76956,-60.86203,339.21,0.63,0.54,2025-09-06,1828,N,VIIRS,60,2.0NRT,295.41,3.54,D,339.21,0
-28.69347,-59.23994,330.21,0.39,0.6,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.68,2.01,D,330.21,0
-28.61083,-61.21241,328.56,0.61,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.84,4.53,D,328.56,0
-28.54069,-62.22112,367.0,0.54,0.51,2025-09-06,1828,N,VIIRS,80,2.0NRT,302.82,161.25,D,367.0,0
-28.53845,-62.21858,343.8,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,308.1,48.52,D,343.8,0
